Institution Name,Department,Program Name,College,City Location of Institution (HD2018),State Abbreviation (HD2018),Institution's Internet Website Address (HD2018),Longitude Location of Institution (HD2018),Latitude Location of Institution (HD2018),Institution Size Category (HD2018),Total price for in-state students living on campus 2018-19 (DRVIC2018)
University of California-Berkeley,ENGINEERING AND COMPUTER SCIENCE,"Civil Engineering, B.S.",College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ENGINEERING AND COMPUTER SCIENCE,"Civil Engineering & Business Administration, B.S.",College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ENGINEERING AND COMPUTER SCIENCE,"Electrical Engineering and Computer Sciences, B.S.",College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ENGINEERING AND COMPUTER SCIENCE,Engineering Science Programs B.S.,College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ENGINEERING AND COMPUTER SCIENCE,"Industrial Engineering and Operations Research, B.S. ",College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ENGINEERING AND COMPUTER SCIENCE,"Materials Science and Engineering, B.S.",College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ENGINEERING AND COMPUTER SCIENCE,"Materials Science and Engineering & Business Administration, B.S.",College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ENGINEERING AND COMPUTER SCIENCE,"Mechanical Engineering, B.S.",College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ENGINEERING AND COMPUTER SCIENCE,"Mechanical Engineering & Business Administration, B.S.",College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ENGINEERING AND COMPUTER SCIENCE,"Mills 3+2 Engineering Program, B.S.",College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ENGINEERING AND COMPUTER SCIENCE,"Nuclear Engineering, B.S.",College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ENGINEERING AND COMPUTER SCIENCE,"Undeclared/Engineering & Business Administration, B.S.",College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ENGINEERING AND COMPUTER SCIENCE,"Computer Science, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ENGINEERING AND COMPUTER SCIENCE,"Data Science, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ETHNIC AND AREA STUDIES,"African American Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ETHNIC AND AREA STUDIES,"American Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ETHNIC AND AREA STUDIES,"Ancient Egyptian and Near Eastern Art and Archaeology, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ETHNIC AND AREA STUDIES,"Asian American and Asian Diaspora Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ETHNIC AND AREA STUDIES,"Celtic Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ETHNIC AND AREA STUDIES,"Chicano Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ETHNIC AND AREA STUDIES,"Ethnic Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ETHNIC AND AREA STUDIES,"Gender and Women’s Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ETHNIC AND AREA STUDIES,"Global Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ETHNIC AND AREA STUDIES,"Native American Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ETHNIC AND AREA STUDIES,"Near Eastern Civilizations, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ETHNIC AND AREA STUDIES,"Scandinavian, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ETHNIC AND AREA STUDIES,"South and Southeast Asian Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"FOOD, NUTRITION AND CONSUMER SCIENCES","Nutritional Science, B.S.",College of Natural Resources,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,FOREIGN LANGUAGE AND LITERATURE,"Ancient Egyptian and Near Eastern Art and Archaeology, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,FOREIGN LANGUAGE AND LITERATURE,"Celtic Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,FOREIGN LANGUAGE AND LITERATURE,"Classical Civilizations, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,FOREIGN LANGUAGE AND LITERATURE,"Classical Languages, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,FOREIGN LANGUAGE AND LITERATURE,"Comparative Literature, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,FOREIGN LANGUAGE AND LITERATURE,"Dutch Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,FOREIGN LANGUAGE AND LITERATURE,"East Asian Languages and Cultures — Chinese, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,FOREIGN LANGUAGE AND LITERATURE,"East Asian Languages and Cultures — Japanese, B.A. ",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,FOREIGN LANGUAGE AND LITERATURE,"French, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,FOREIGN LANGUAGE AND LITERATURE,"German, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,FOREIGN LANGUAGE AND LITERATURE,"Italian Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,FOREIGN LANGUAGE AND LITERATURE,"Near Eastern Languages and Literatures, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,FOREIGN LANGUAGE AND LITERATURE,"Near Eastern Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,FOREIGN LANGUAGE AND LITERATURE,"Scandinavian, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,FOREIGN LANGUAGE AND LITERATURE,"Slavic, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,FOREIGN LANGUAGE AND LITERATURE,"Spanish and Portuguese, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,HEALTH PROFESSIONS,"Public Health, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,HUMANITIES,"Classical Civilizations, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,HUMANITIES,"East Asian Religion, Thought, and ",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,HUMANITIES,"Culture, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,HUMANITIES,"English, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,HUMANITIES,"Linguistics, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,HUMANITIES,"Philosophy, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,HUMANITIES,"Rhetoric, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,HUMANITIES,Undeclared/Arts & Humanities,College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,MATHEMATICS,"Mathematics, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,MATHEMATICS,"Mathematics, Applied, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,MATHEMATICS,"Statistics, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,MATHEMATICS,Undeclared/Intending Mathematical and Physical Sciences,College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,PHYSICAL SCIENCES,"Chemical Biology, B.S.",College of Chemistry,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,PHYSICAL SCIENCES,"Chemistry, B.S.",College of Chemistry,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,PHYSICAL SCIENCES,"Astrophysics, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,PHYSICAL SCIENCES,"Atmospheric Science, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,PHYSICAL SCIENCES,"Chemistry, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,PHYSICAL SCIENCES,"Environmental Earth Science, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,PHYSICAL SCIENCES,"Geology, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,PHYSICAL SCIENCES,"Geophysics, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,PHYSICAL SCIENCES,"Marine Science, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,PHYSICAL SCIENCES,"Operations Research and Management Science, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,PHYSICAL SCIENCES,"Physics, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,PHYSICAL SCIENCES,"Planetary Science, B.A. ",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,PHYSICAL SCIENCES,Undeclared/Intending Mathematical and Physical Sciences,College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,"Global Management Program, B.S.",Haas School of Business ,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,"Urban Studies, B.A.",College of Environmental Design,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,"Anthropology, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,"Cognitive Science, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,"Economics, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,"Environmental Economics and Policy, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,"Geography, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,"Global Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,"History, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,"Legal Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,"Media Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,"Political Economy, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,"Political Science, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,"Psychology, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,"Social Welfare, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,"Sociology, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,Undeclared/Intending Soc,College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,"Environmental Economics and Policy, B.S.",College of Natural Resources,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SOCIAL SCIENCES,"Society and Environment, B.S.",College of Natural Resources,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SPECIAL PROGRAMS,"Interdisciplinary Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,SPECIAL PROGRAMS,Undeclared/Intending Interdisciplinary Studies,College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Davis,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES",Academic Explorations Program ,College of Agricultural and Environmental Sciences ,Davis,CA,www.ucdavis.edu,-121.749567,38.539667,5,35177
University of California-Davis,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Agricultural and Environmental Education, B.S.",College of Agricultural and Environmental Sciences ,Davis,CA,www.ucdavis.edu,-121.749567,38.539667,5,35177
University of California-Davis,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Animal Biology, B.S.",College of Agricultural and Environmental Sciences ,Davis,CA,www.ucdavis.edu,-121.749567,38.539667,5,35177
University of California-Davis,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Animal Science, B.S.",College of Agricultural and Environmental Sciences ,Davis,CA,www.ucdavis.edu,-121.749567,38.539667,5,35177
University of California-Davis,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Animal Science and Management, B.S. ",College of Agricultural and Environmental Sciences ,Davis,CA,www.ucdavis.edu,-121.749567,38.539667,5,35177
University of California-Davis,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Atmospheric Science, B.S.",College of Agricultural and Environmental Sciences ,Davis,CA,www.ucdavis.edu,-121.749567,38.539667,5,35177
University of California-Davis,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Biotechnology, B.S.",College of Agricultural and Environmental Sciences ,Davis,CA,www.ucdavis.edu,-121.749567,38.539667,5,35177
University of California-Davis,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Community and Regional Development, B.S.",College of Agricultural and Environmental Sciences ,Davis,CA,www.ucdavis.edu,-121.749567,38.539667,5,35177
University of California-Davis,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Ecological Management and Restoration, B.S. ",College of Agricultural and Environmental Sciences ,Davis,CA,www.ucdavis.edu,-121.749567,38.539667,5,35177
University of California-Davis,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Entomology, B.S. ",College of Agricultural and Environmental Sciences ,Davis,CA,www.ucdavis.edu,-121.749567,38.539667,5,35177
